Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Max Fl Ex ,Max Fl Em ,Max Fl ,B,T,A,C,M,N,FI,BIX,HIX,T/B,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N
20190909_F27May19_0.1mR1.csv,FCR,5/27/2019,,50,0.1,1,300,300,9.70535113,0.039218608,0.031156577,0.154484386,0.073380628,0.06248888,0.049655086,1.401159378,0.606625848,4.951573739,0.794433507,0.498593934,0.627459925,0.424588578,4.958323495,2.105247524,2.472190018,0.851571889,1.477806886
20190909_F27May19_5mR1.csv,FCR,5/27/2019,,50,5,1,300,300,14.35232831,0.035176047,0.032293701,0.174058975,0.088536038,0.068758695,0.05121661,1.486579313,0.624429485,5.797929381,0.918059437,0.469667168,0.630531804,0.364752053,5.389873783,1.965967526,2.531446756,0.776618162,1.728658685
20190909_F27May19_9mR2_50Dil.csv,FCR,5/27/2019,,50,9,2,300,300,19.27707993,0.077986993,0.062169837,0.308353736,0.14705222,0.124940236,0.099310172,1.399547162,0.605927847,4.9742452,0.797182127,0.497596603,0.626016807,0.422773874,4.959860791,2.096899559,2.468009882,0.849631752,1.48073674
20190909_F13Jun19_5mR1.csv,FCR,6/13/2019,,50,5,1,305,304,4.592585979,0.02686084,0.020163486,0.173300682,0.094509765,0.072019237,0.052958106,1.4998147,0.627947217,9.35611772,0.750664764,0.279973618,0.3807441,0.213348181,8.594777618,1.833680175,2.406310983,0.762029591,1.784613756
20190905_3DEEM_F13Jun19_9.0R1.csv,FCR,6/13/2019,,50,9,1,300,300,12.64798685,0.034458947,0.048377092,0.16839758,0.087502677,0.071552138,0.059692047,1.521671528,0.671432572,4.801836667,1.403905122,0.67610966,0.810444505,0.552864134,3.480936413,1.924484896,2.353494736,0.817713703,1.465901756
20190909_F03Jul19_0.1mR1_50Dil.csv,FCR,7/3/2019,,50,0.1,1,300,300,17.38708348,0.097511594,0.056308718,0.20627015,0.095592377,0.088053205,0.07455183,1.509879524,0.643694886,3.455935861,0.577456643,0.63948516,0.755296253,0.589050296,3.663200975,2.15780962,2.342562661,0.921132081,1.282227099
20190909_F03Jul19_5mR2_50Dil.csv,FCR,7/3/2019,,50,5,2,300,300,17.6941472,0.079575699,0.046808695,0.203170169,0.104040711,0.086546605,0.07204181,1.517231597,0.640767556,4.010329956,0.588228514,0.540849582,0.649743459,0.449907487,4.34043652,1.952794889,2.347523277,0.831853259,1.444171251
20190930_F3Jul19_5m_R1FltDil.csv,FCR,7/3/2019,,50,5,1,300,300,14.26477322,0.107781039,0.105257196,0.203677714,0.097644771,0.095437546,0.09450701,1.560270229,0.688425876,2.980592695,0.976583604,1.102890851,1.113750137,1.077960389,1.935047888,2.085904974,2.134146611,0.97739535,1.033201357
20190909_F03Jul19_9mR1.csv,FCR,7/3/2019,,50,9,1,300,300,19.94434511,0.032863056,0.037769438,0.195598577,0.099783977,0.082866729,0.064972471,1.522392049,0.676096882,5.13927492,1.149297814,0.45578531,0.58131448,0.378512054,5.178752639,1.960220298,2.360399378,0.830461284,1.535788555
20190909_F15Jul19_0.1mR1_50Dil.csv,FCR,7/15/2019,,50,0.1,1,300,300,18.89472447,0.141819564,0.110114565,0.236071202,0.105092225,0.098491709,0.100048751,1.436326368,0.625283239,2.591135573,0.776441291,1.118008472,1.100609096,1.047789834,2.143868987,2.24632413,2.39686369,0.937193108,1.050410169
20190909_F15Jul19_5mR2_50Dil.csv,FCR,7/15/2019,,50,5,2,300,300,20.65233713,0.096963399,0.072410097,0.230899666,0.12087544,0.100673093,0.08657222,1.569832243,0.672483554,3.778380453,0.746777629,0.719259683,0.836412621,0.599047229,3.188777182,1.910228135,2.293558865,0.832866408,1.396238194
20190930_F15Jul19_5m_R1_Dil.csv,FCR,7/15/2019,,50,5,1,300,300,25.60413276,0.125606023,0.117067984,0.211474078,0.100673506,0.095048157,0.099010965,1.514228816,0.70160177,2.432486335,0.932025239,1.231670209,1.182373923,1.162847983,1.806421121,2.100593157,2.22491508,0.944122846,1.016791482
20190909_F15Jul19_9.0mR2.csv,FCR,7/15/2019,,50,9,2,300,300,18.26475204,0.034053842,0.039503832,0.187897205,0.096407638,0.081339139,0.064769562,1.553213276,0.703841921,5.359799907,1.160040375,0.485668184,0.609913522,0.409758319,4.756429845,1.9489867,2.310046643,0.84370015,1.488471358
20190930_F14Aug19_0.1m_Dil.csv,FCR,8/14/2019,,50,0.1,2,300,300,29.61882741,0.155431767,0.144242649,0.284125688,0.118182641,0.1214143,0.12075929,1.397117883,0.656964493,2.654736849,0.928012674,1.188020266,1.1944642,1.220506222,1.969775858,2.404123691,2.340133638,1.027344615,0.978662934
20190930_F14Aug19_5m_R1_Dil.csv,FCR,8/14/2019,,50,5,1,300,300,32.15841092,0.126066374,0.1023314,0.234153748,0.114633098,0.130586736,0.116325178,1.557464991,0.724125451,2.465925445,0.811726372,0.783627829,0.879701215,0.892686338,2.288190601,2.042636489,1.793089832,1.139171308,0.985453879
20190930_F14Aug19_9m_R2_Dil.csv,FCR,8/14/2019,,50,9,2,300,300,30.59160991,0.084235884,0.073502802,0.217234348,0.10595833,0.14038474,0.100549748,1.575734143,0.718936677,3.170072204,0.872583015,0.523581136,0.73100931,0.693695362,2.955456701,2.050186605,1.547421375,1.324905186,1.053790108
20190930_F14Aug19_9m_R2_DilFlt.csv,FCR,8/14/2019,,50,9,2,300,300,26.0124825,0.104769138,0.072652924,0.203514173,0.104678572,0.150597685,0.103483584,1.547510875,0.721443343,2.877846954,0.69345731,0.482430551,0.702071978,0.694057272,2.801183507,1.944181783,1.351376502,1.438667743,1.011547616
20190930_F22Aug19_9m_R2_Dil.csv,FCR,8/22/2019,,50,9,2,300,300,36.76521909,0.086723802,0.086775881,0.248342489,0.120843363,0.10511714,0.106419315,1.524373601,0.709234169,2.972529781,1.000600524,0.825516002,0.815414772,0.718085621,2.861883806,2.055077609,2.362530878,0.869862751,1.135539758
2019115_F28Agu19_3.8R1_Dil.csv,FCR,8/28/2019,,50,3.8,1,300,300,21.04449524,0.158923848,1.177982898,0.404129187,0.156344213,0.276826007,0.551858467,1.519162136,1.052543188,0.716532701,7.412247513,4.255318752,2.134574296,7.534547509,0.343068807,2.584868222,1.459867126,1.77061883,0.283304909
20191115_F28Aug19_9R1_Dil.csv,FCR,8/28/2019,,50,9,1,300,300,19.13104481,0.169403407,0.129719747,0.297469167,0.1545671,0.132779916,0.134054193,1.546683085,0.634136266,3.151479719,0.765744615,0.976953075,0.967666466,0.839245526,2.293167958,1.924530949,2.240317489,0.859043845,1.153019511
20191115_F11Sep19_0.1R1_Dil.csv,FCR,9/11/2019,,50,0.1,1,305,304,19.09299427,0.139489387,0.156434716,0.274703357,0.127520618,0.128492542,0.130879088,1.487946655,0.692880956,2.849276476,1.121481131,1.217461443,1.195261352,1.226740573,1.756025544,2.154187783,2.137893393,1.007621704,0.974339137
20190930_PonyLakeDil.csv,NA,NA,,NA,NA,NA,240,442,4.693241694,0.089023461,0.180907582,1.014670179,0.556292742,0.490487024,0.373073326,1.455335618,0.738318354,9.563936773,2.032133782,0.368832555,0.484911597,0.325202126,5.60877641,1.82398601,2.068699332,0.881706675,1.491108325
20200114F13Jun19_0.1R2.csv,FCR,6/13/2019,1/14/2020,50,0.1,2,300,300,11.90656829,0.076327581,0.08376647,0.20779595,0.097516111,0.083346646,0.080950005,1.416952649,0.624577397,3.430744615,1.097460038,1.005037085,1.034792646,0.859001345,2.480657828,2.130888411,2.493153111,0.854696168,1.20464613
F22Aug19_0.1R1.csv,FCR,8/22/2019,1/14/2020,50,0.1,1,300,300,27.32773212,0.184606062,0.186312964,0.292901074,0.123588789,0.123986371,0.141093705,1.422107709,0.633137826,2.355998916,1.009246186,1.502689066,1.320490976,1.507523186,1.572091748,2.369964762,2.362365082,1.003216979,0.875934107
F22Aug19_5.0R1.csv,FCR,8/22/2019,1/14/2020,50,5,2,305,304,29.46151722,0.098764989,0.116310058,0.241711026,0.121028807,0.116230061,0.113773135,1.58387097,0.758101548,2.77771969,1.177644612,1.000688261,1.022298079,0.96101135,2.078161003,1.997136312,2.079591321,0.960350378,1.063773158
F28Aug190_0.1R2.csv,FCR,8/28/2019,1/14/2020,50,0.1,2,300,300,33.80710357,0.204161702,0.210612041,0.325579324,0.143925897,0.137051626,0.155322897,1.456022981,0.649624501,2.168159665,1.031594267,1.536735078,1.355962611,1.463336661,1.545872316,2.262131632,2.375596213,0.95223743,0.926623823
F28Aug19_5.0R2.csv,FCR,8/28/2019,1/14/2020,50,5,2,305,304,28.92378393,0.097409883,0.114714224,0.2418211,0.119002921,0.114255313,0.112212109,1.580228168,0.754618387,2.795820235,1.177644612,1.004016538,1.022298079,0.963961413,2.108030652,2.032060207,2.116497638,0.960105114,1.060517636
F11Sep19_9.0R2.csv,FCR,9/11/2019,1/14/2020,50,9,2,300,300,13.57134287,0.055649449,0.067632931,0.158318448,0.086578615,0.07918815,0.072387412,1.63026576,0.768525607,3.321462368,1.215338736,0.854078947,0.934318963,0.781173638,2.340848538,1.828609168,1.999269454,0.914638677,1.196045178
F11Sep19_5.0R2.csv,FCR,9/11/2019,1/16/2020,50,5,2,300,300,28.01690907,0.088485263,0.109091914,0.194188187,0.098093263,0.09046699,0.091790573,1.554078356,0.728018727,2.337183182,1.23288229,1.205875356,1.188487118,1.112124425,1.780041979,1.979628163,2.146508755,0.922254875,1.068663803
F4Oct19_0.1R2.csv,FCR,10/4/2019,1/16/2020,50,0.1,2,300,300,44.05102139,0.340922579,0.396065436,0.32018063,0.124969845,0.14208462,0.223036373,1.458174742,0.762787963,1.29381641,1.161745981,2.787532076,1.775788542,3.169288039,0.80840336,2.5620631,2.253450297,1.136951236,0.560311502
F4Oct19_5.0R1.csv,FCR,10/4/2019,1/16/2020,50,5,1,300,300,52.49303366,0.200837048,0.190542514,0.314647817,0.145784636,0.140756626,0.160102834,1.490633181,0.724166289,1.939673813,0.948741859,1.353701914,1.190125806,1.30701368,1.651326049,2.158305736,2.235403234,0.965510698,0.910568745
F4Oct19_9.0R1.csv,FCR,10/4/2019,1/16/2020,50,9,1,305,304,6.779504043,0.05173506,0.059718453,0.147120277,0.083705401,0.074142365,0.069053883,1.688600482,0.802543823,3.755355566,1.15431301,0.805456537,0.864809484,0.713436076,2.463564771,1.757595983,1.98429435,0.88575366,1.212175152
F8Nov19_0.1R1.csv,FCR,11/8/2019,1/16/2020,50,0.1,1,300,300,34.70973296,0.169411933,0.170889748,0.279140022,0.144651672,0.136953115,0.141058731,1.478576184,0.726362185,2.291813654,1.008723207,1.247797449,1.211479408,1.18138799,1.633450954,1.929739339,2.038215932,0.946778655,1.025471241
F8Nov19_5.0R2.csv,FCR,11/8/2019,1/16/2020,50,5,2,305,304,29.71707882,0.160086748,0.166903203,0.287139835,0.139575859,0.132992473,0.134772644,1.521384089,0.731865267,2.191741739,1.042579754,1.254982327,1.238405641,1.195788471,1.720397392,2.057231368,2.159068322,0.952832917,1.035639389
F8Nov19_9.0R2.csv,FCR,11/8/2019,1/16/2020,50,9,2,300,300,31.39769625,0.178926144,0.179926301,0.298190877,0.146638896,0.13854625,0.146545415,1.52240028,0.733655143,2.505924043,1.005589778,1.298673192,1.227785267,1.227002564,1.657294541,2.033504652,2.152283992,0.944812422,1.000637898
F20May19_0.1mR2.csv,FCR,5/20/2019,1/17/2020,50,0.1,1,300,300,18.75750232,0.051462815,0.061738033,0.160945766,0.075668921,0.067161793,0.061537343,1.365825977,0.616941031,3.687472329,1.199662953,0.919243367,1.003261266,0.815896826,2.606914388,2.126973176,2.39638876,0.887574342,1.22964232
F3Jun19_5.0mR1.csv,FCR,6/3/2019,1/17/2020,50,5,1,300,300,17.70951484,0.077628555,0.093130511,0.181188313,0.08941381,0.07571526,0.076533813,1.47903036,0.674200847,2.799385495,1.19969399,1.230009797,1.216854448,1.041567414,1.94553117,2.026401869,2.393022399,0.846796031,1.168291588
F20May19_5.0mR2.csv,FCR,5/20/2019,1/17/2020,50,5,2,305,304,16.76310896,0.063436522,0.065978521,0.170057363,0.083290844,0.071610128,0.063594389,1.430521523,0.630853183,3.238124716,1.040071532,0.921357386,1.037489648,0.79214614,2.577465536,2.041729375,2.374766908,0.859759906,1.309720007
F20May19_9.0mR2.csv,FCR,5/20/2019,1/17/2020,50,9,2,300,300,16.51694005,0.05891049,0.070449454,0.161100174,0.078350699,0.068742476,0.065900233,1.470501151,0.677825223,2.775884567,1.195872837,1.02483149,1.069031952,0.899155399,2.286748356,2.05614213,2.343531724,0.877369019,1.188929025
F3Jun19_0.1mR2.csv,FCR,6/3/2019,1/17/2020,50,0.1,2,305,304,6.446236546,0.078911874,0.075555193,0.162960086,0.078258379,0.068494878,0.067476029,1.417570771,0.602834586,3.292267839,0.957462917,1.103077997,1.11973383,0.965458183,2.156835021,2.082334022,2.379157255,0.875240179,1.159795265
20200124_F10Jun19_5R2_Dil.csv,FCR,6/10/2019,1/24/2020,50,5,2,300,300,17.83764944,0.076468502,0.00877561,0.193428956,0.099747969,0.081925952,0.060696322,1.517062928,0.603726321,5.446221741,0.114761108,0.107116363,0.144582237,0.087977832,22.0416537,1.939176895,2.361021772,0.821329527,1.643393961
20200124_F10Jun19_9R1_Dil.csv,FCR,6/10/2019,1/24/2020,50,9,1,300,300,11.9543044,0.124776236,0.028020963,0.173163841,0.085011885,0.082916991,0.073867427,1.536314913,0.60696787,3.057719702,0.22456971,0.337939944,0.379341265,0.329612304,6.179796182,2.036936857,2.088399974,0.975357634,1.15087107
20200124_F10Jun19_0.1R2_Dil.csv,FCR,6/10/2019,1/24/2020,50,0.1,2,300,300,12.06491622,0.126221077,0.028280238,0.173937501,0.084737272,0.083066537,0.074208383,1.536314913,0.608367075,3.031030488,0.224053214,0.340452834,0.381092225,0.333740244,6.15049638,2.052668166,2.093953922,0.98028335,1.141882739
20200131_F17Jun19_0.1R1_Dil.csv,FCR,6/17/2019,1/31/2020,50,0.1,1,305,304,15.60000242,0.071730189,0.077706371,0.190512708,0.087680468,0.078836505,0.073902841,1.384460542,0.633905315,3.77892313,1.083314744,0.985664841,1.051466628,0.88624494,2.451699968,2.172806692,2.416554459,0.899134172,1.186428921
20200131_F24Jun19_0.1R1_Dil.csv,FCR,6/24/2019,1/31/2020,50,0.1,1,305,304,15.81702008,0.072728055,0.078425379,0.191830831,0.087918172,0.079355328,0.074415111,1.384460542,0.633905315,3.763189658,1.078337365,0.988281208,1.053890509,0.892026962,2.446029998,2.181924708,2.417365481,0.902604395,1.181455891
20200131_F24Jun19_9R2_Dil.csv,FCR,6/24/2019,1/31/2020,50,9,2,300,300,20.0812554,0.052372818,0.059013638,0.196719365,0.099637114,0.085559362,0.070849644,1.534609534,0.678692508,3.842473526,1.126798972,0.689739105,0.832941907,0.592285701,3.333456006,1.974358325,2.299214963,0.858709758,1.406317773
20200131_F17Jun19_5R2.csv,FCR,6/17/2019,1/31/2020,50,5,2,300,300,9.994495206,0.026066094,0.029303695,0.097763988,0.049542227,0.042572972,0.035221486,1.532843766,0.677911584,3.843361632,1.124207406,0.688316885,0.831983499,0.591489269,3.336234119,1.973346681,2.296386278,0.859326978,1.406591028
20200131_F17Jun19_9R2.csv,FCR,6/17/2019,1/31/2020,50,9,2,300,300,9.971508505,0.02597622,0.029202659,0.097422719,0.049511246,0.042477619,0.035140479,1.532843766,0.676352431,3.848783873,1.124207406,0.687483409,0.831026194,0.589818694,3.336090745,1.967688687,2.293507037,0.857938805,1.40895194
20200131_F24Jun19_5R1_Dil.csv,FCR,6/24/2019,1/31/2020,50,5,1,300,300,12.96352852,0.166528768,0.183761625,0.228939736,0.10939376,0.108900416,0.13402981,1.572551748,0.732583028,1.781989991,1.103482766,1.687428132,1.371050406,1.679818161,1.245851716,2.092804339,2.102285234,0.995490196,0.816189775
F8Jul19_9.0mR1.csv,FCR,7/8/2019,2/3/2020,50,9,1,300,300,26.21231708,0.20923773,0.085069011,0.221191199,0.106394361,0.097529213,0.090942698,1.534531019,0.720351014,2.7521575,0.406566306,0.872241339,0.935413323,0.799563152,2.600138359,2.078974821,2.267948164,0.916676516,1.169905492
